check,status,tool,path,detail,action_needed,notes
openroad_binary,BLOCKED,openroad,NA,not found,Install OpenROAD in PATH or set up a runnable Linux/Docker/WSL OpenROAD flow.,"Required for placed/routed ASIC area, timing, and power evidence."
opensta_binary,MISSING,sta,NA,not found,Optional if timing is reported through OpenROAD; otherwise install OpenSTA.,Useful for independent static timing checks.
docker_binary,PASS,docker,<local-user>\AppData\Local\Programs\DockerDesktop\resources\bin\docker.EXE,"Docker version 29.6.1, build 8900f1d",none,Common way to run Linux-only EDA flows from Windows.
openroad_orfs_docker_image,PASS,dockerhub,openroad/orfs:latest,tag=latest size=1586519543 images=2 amd64_linux=1,none,The repo includes scripts/run_asic_openroad_docker.ps1 and .github/workflows/asic-openroad.yml for this image.
wsl_status,PASS,wsl,wsl.EXE,Default Distribution: docker-desktop / Default Version: 2,none,WSL can host Linux OpenROAD flows when a distribution is installed.
wsl_feature_query,BLOCKED,dism,dism.exe,Error: 740 / Elevated permissions are required to run DISM. / Use an elevated command prompt to complete these tasks.,"Run WSL feature installation from an elevated Windows session, then install Ubuntu/OpenROAD.",Records whether this Codex session can inspect the Windows WSL feature state without elevation.
winget_openroad_package,MISSING,winget,<local-user>\AppData\Local\Microsoft\WindowsApps\winget.EXE,No package found matching input criteria.,Use WSL/Docker/Linux or a manual OpenROAD binary install.,Documents whether a native Windows package route is available locally.
conda_openroad_package_platforms,MISSING,conda,https://api.anaconda.org/package/litex-hub/openroad,"platforms=linux-64,osx-64",Conda route is not native-Windows here; use WSL/Docker/Linux for the Linux package.,The available litex-hub package metadata is useful only if a runnable platform package exists for this machine.
openroad_official_release_metadata,PASS,openroad-release,https://vaultlink.precisioninno.com/api/releases/latest,version=26Q2-1164-g08f67ee5ec; files=openroad_26Q2-1164-g08f67ee5ec_amd64-ubuntu-22.04.deb; openroad_26Q2-1164-g08f67ee5ec_amd64-ubuntu-24.04.deb,none,Records current official prebuilt OpenROAD release metadata for the ASIC physical-flow blocker.
openroad_official_download_access,BLOCKED,openroad-release,https://vaultlink.precisioninno.com/api/releases/26Q2-1164-g08f67ee5ec/openroad_26Q2-1164-g08f67ee5ec_amd64-ubuntu-22.04.deb/download,HTTP 401; package=openroad_26Q2-1164-g08f67ee5ec_amd64-ubuntu-22.04.deb,"Register/authorize download through the official OpenROAD release portal, then install the Ubuntu .deb inside WSL/Docker/Linux.","The official package endpoint exists, but this local probe is not authorized to download it."
yosys_binary,PASS,yosys,.tools/oss-cad-suite/oss-cad-suite/bin/yosys.exe,found,none,Already sufficient for the current Nangate45 synthesis-only rows.
nangate45_liberty,PASS,file,.tools/openpdk/nangate45/NangateOpenCellLibrary_typical.lib,bytes=6692032,none,Required for synthesis and timing.
nangate45_lef,PASS,file,.tools/openpdk/nangate45/NangateOpenCellLibrary.combined.lef,bytes=275420,none,Required for placement/routing.
asic_sdc,PASS,file,constraints/asic_openpdk.sdc,bytes=187,none,Used by the OpenROAD flow scaffold.
