design,target,flow,memory_words,buffer_depth,recorder_config,first_failure_stage,primary_root_cause,resource_utilization_at_failure,evidence_log,fix_attempted,status,notes
full_core_baseline_board,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,1024,16,core,P&R_PASS,place-and-route completed,lut=2758 ff=883 bram=4 dsp=0 fmax_mhz=72.29,results/raw/mapped_scaling/full_core_baseline_board_mem1024_buf16_core_ecp5_85k_nextpnr.txt,not needed,PASS,mapped row passed
full_core_replaycapsule_board,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,1024,16,core,P&R_PASS,place-and-route completed,lut=6141 ff=3901 bram=4 dsp=0 fmax_mhz=56.95,results/raw/mapped_scaling/full_core_replaycapsule_board_mem1024_buf16_core_ecp5_85k_nextpnr.txt,not needed,PASS,mapped row passed
full_core_baseline_board,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,16,core,P&R_PASS,place-and-route completed,lut=2581 ff=883 bram=6 dsp=0 fmax_mhz=70.57,results/raw/mapped_scaling/full_core_baseline_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,not needed,PASS,mapped row passed
full_core_replaycapsule_board,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,16,core,P&R_PASS,place-and-route completed,lut=6119 ff=3901 bram=6 dsp=0 fmax_mhz=56.65,results/raw/mapped_scaling/full_core_replaycapsule_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,not needed,PASS,mapped row passed
full_core_baseline_board,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,32,full,P&R_PASS,place-and-route completed,lut=2581 ff=883 bram=6 dsp=0 fmax_mhz=70.57,results/raw/mapped_scaling/full_core_baseline_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,not needed,PASS,mapped row passed
full_core_replaycapsule_board,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,32,full,P&R_PASS,place-and-route completed,lut=7804 ff=6591 bram=6 dsp=0 fmax_mhz=59.22,results/raw/mapped_scaling/full_core_replaycapsule_board_mem2048_buf32_full_ecp5_85k_nextpnr.txt,not needed,PASS,mapped row passed
full_core_baseline_board,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,4096,32,full,P&R_PASS,place-and-route completed,lut=2562 ff=883 bram=10 dsp=0 fmax_mhz=67.01,results/raw/mapped_scaling/full_core_baseline_board_mem4096_buf32_full_ecp5_85k_nextpnr.txt,not needed,PASS,mapped row passed
full_core_replaycapsule_board,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,4096,32,full,P&R_PASS,place-and-route completed,lut=7817 ff=6591 bram=10 dsp=0 fmax_mhz=57.52,results/raw/mapped_scaling/full_core_replaycapsule_board_mem4096_buf32_full_ecp5_85k_nextpnr.txt,not needed,PASS,mapped row passed
full_core_baseline_board,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,64,hashed,P&R_PASS,place-and-route completed,lut=2581 ff=883 bram=6 dsp=0 fmax_mhz=70.57,results/raw/mapped_scaling/full_core_baseline_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,not needed,PASS,mapped row passed
full_core_replaycapsule_board,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,64,hashed,UNKNOWN,UNKNOWN: mapped tool timeout,lut=NA ff=NA bram=NA dsp=NA fmax_mhz=NA,results/raw/mapped_scaling/full_core_replaycapsule_board_mem2048_buf64_hashed_ecp5_85k_nextpnr.txt,no automatic RTL change attempted,DIAGNOSED,P&R_FAIL: TIMEOUT after 240 seconds
